Error Code,Error Type,Form Name,Packet,Variable Name,Type of Check,Name of the Test,Full Test Description,List of form(s) compared in this test,List of variable(s) compared in this test
a1a-ivp-c-106,Error,A1a,I - UDS Initial Visit (new participants),EXPNOTAPP,Conformity,EXPNOTAPP conforms,Q37a14. EXPNOTAPP (main reason not applicable) must be blank or 1,,
a1a-ivp-c-107,Error,A1a,I - UDS Initial Visit (new participants),EXPNOANS,Conformity,EXPNOANS conforms,Q37a15. EXPNOANS (main reason no answer) must be blank or 1,,
a1a-ivp-c-109,Error,A1a,I - UDS Initial Visit (new participants),EXPSTRS,Conformity,EXPSTRS conforms,Q38. EXPSTRS (How stressful have the experiences above been?) must be an integer between 1-3 or 8-9,,
a1a-ivp-c-111,Error,A1a,I - UDS Initial Visit (new participants),FRMDATEA1A,Conformity,FRMDATEA1A conforms,Q0a. FRMDATEA1A (A1a form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,,
a1a-ivp-c-113,Error,A1a,I - UDS Initial Visit (new participants),LANGA1A,Conformity,LANGA1A conforms,Q0c. LANGA1A (Language of A1a administration) must be an integer between 1-2,,
a1a-ivp-c-115,Error,A1a,I - UDS Initial Visit (new participants),MODEA1A,Conformity,MODEA1A conforms,Q0d. MODEA1A (A1a in person or remote) must be an integer between 0-2,,
a1a-ivp-c-118,Error,A1a,I - UDS Initial Visit (new participants),RMREASA1A,Conformity,RMREASA1A conforms,Q0d1. RMREASA1A (Reason for remote A1a) must be an integer between 1 and 5,,
a1a-ivp-c-121,Error,A1a,I - UDS Initial Visit (new participants),RMMODEA1A,Conformity,RMMODEA1A conforms,Q0d1a. RMMODEA1A (Mode of remote A1a administration) must be an integer between 1-4,,
a1a-ivp-c-123,Error,A1a,I - UDS Initial Visit (new participants),ADMINA1A,Conformity,ADMINA1A conforms,Q0e. ADMINA1A (A1a administration) must be an integer between 1-2,,
a1a-ivp-c-125,Error,A1a,I - UDS Initial Visit (new participants),A1ANOT,Conformity,A1ANOT conforms,"Q0d2. A1ANOT (If form was not submitted, specify reason) must equal 93",,
a1a-ivp-m-001,Error,A1a,I - UDS Initial Visit (new participants),OWNSCAR,Missingness,OWNSCAR must be present,Q1. OWNSCAR (Owns a car?) cannot be blank,,
a1a-ivp-m-003,Error,A1a,I - UDS Initial Visit (new participants),TRSPACCESS,Missingness,TRSPACCESS must be present,Q2. TRSPACCESS (Access to transportation?) cannot be blank,,
a1a-ivp-m-005,Error,A1a,I - UDS Initial Visit (new participants),TRANSPROB,Missingness,TRANSPROB must be present,Q3. TRANSPROB (Transportation problems in past month?) cannot be blank,,
a1a-ivp-m-007,Error,A1a,I - UDS Initial Visit (new participants),TRANSWORRY,Missingness,TRANSWORRY must be present,Q4. TRANSWORRY (Transportation worries in past month?) cannot be blank,,
a1a-ivp-m-011,Error,A1a,I - UDS Initial Visit (new participants),TRSPMED,Missingness,TRSPMED must be present,Q5. TRSPMED (Lack of transportation caused missed medical appointments?) cannot be blank,,
a1a-ivp-m-013,Error,A1a,I - UDS Initial Visit (new participants),INCOMEYR,Missingness,INCOMEYR must be present,Q6. INCOMEYR (Household income for past year?) cannot be blank,,
a1a-ivp-m-015,Error,A1a,I - UDS Initial Visit (new participants),FINSATIS,Missingness,FINSATIS must be present,Q7. FINSATIS (Satisfaction with personal finances?) cannot be blank,,
a1a-ivp-m-017,Error,A1a,I - UDS Initial Visit (new participants),BILLPAY,Missingness,BILLPAY must be present,Q8. BILLPAY (Difficulty with monthly payments?) cannot be blank,,
a1a-ivp-m-019,Error,A1a,I - UDS Initial Visit (new participants),FINUPSET,Missingness,FINUPSET must be present,Q9. FINUPSET (Upset with finances in past month?) cannot be blank,,
a1a-ivp-m-021,Error,A1a,I - UDS Initial Visit (new participants),EATLESS,Missingness,EATLESS must be present,Q10. EATLESS (Eaten less food because of money?) cannot be blank,,
a1a-ivp-m-023,Error,A1a,I - UDS Initial Visit (new participants),EATLESSYR,Missingness,EATLESSYR must be present,Q10. EATLESSYR (Eaten less food because of money in past year?) cannot be blank,,
a1a-ivp-m-025,Error,A1a,I - UDS Initial Visit (new participants),LESSMEDS,Missingness,LESSMEDS must be present,Q12. LESSMEDS (Taken less medication because of money?) cannot be blank,,
a1a-ivp-m-027,Error,A1a,I - UDS Initial Visit (new participants),LESSMEDSYR,Missingness,LESSMEDSYR must be present,Q12. LESSMEDSYR (Taken less medication because of money in past year?) cannot be blank,,
a1a-ivp-m-029,Error,A1a,I - UDS Initial Visit (new participants),COMPCOMM,Missingness,COMPCOMM must be present,Q14. COMPCOMM (How does participant compare to community?) cannot be blank,,
a1a-ivp-m-035,Error,A1a,I - UDS Initial Visit (new participants),GUARDEDU,Missingness,GUARDEDU must be present,Q15. GUARDEDU (Mother or primary guardian's level of education?) cannot be blank,,
a1a-ivp-m-048,Error,A1a,I - UDS Initial Visit (new participants),EMPTINESS,Missingness,EMPTINESS must be present,Q16. EMPTINESS (Feel emptiness?) cannot be blank,,
a1a-ivp-m-050,Error,A1a,I - UDS Initial Visit (new participants),MISSPEOPLE,Missingness,MISSPEOPLE must be present,Q17. MISSPEOPLE (Misses people?) cannot be blank,,
a1a-ivp-m-052,Error,A1a,I - UDS Initial Visit (new participants),FRIENDS,Missingness,FRIENDS must be present,Q18. FRIENDS (Doesn't have enough friends?) cannot be blank,,
a1a-ivp-m-054,Error,A1a,I - UDS Initial Visit (new participants),ABANDONED,Missingness,ABANDONED must be present,Q19. ABANDONED (Feels abandoned?) cannot be blank,,
a1a-ivp-m-056,Error,A1a,I - UDS Initial Visit (new participants),CLOSEFRND,Missingness,CLOSEFRND must be present,Q20. CLOSEFRND (Misses having close friends?) cannot be blank,,
a1a-ivp-m-058,Error,A1a,I - UDS Initial Visit (new participants),PARENTCOMM,Missingness,PARENTCOMM must be present,Q21. PARENTCOMM (Frequency of communication with parents?) cannot be blank,,
a1a-ivp-m-060,Error,A1a,I - UDS Initial Visit (new participants),CHILDCOMM,Missingness,CHILDCOMM must be present,Q22. CHILDCOMM (Frequency of communication with children?) cannot be blank,,
a1a-ivp-m-062,Error,A1a,I - UDS Initial Visit (new participants),FRIENDCOMM,Missingness,FRIENDCOMM must be present,Q23. FRIENDCOMM (Frequency of communication with friends?) cannot be blank,,
a1a-ivp-m-064,Error,A1a,I - UDS Initial Visit (new participants),PARTICIPATE,Missingness,PARTICIPATE must be present,Q24. PARTICIPATE (Frequency of participation in activities?) cannot be blank,,
a1a-ivp-m-066,Error,A1a,I - UDS Initial Visit (new participants),SAFEHOME,Missingness,SAFEHOME must be present,Q25a. SAFEHOME (How safe you feel at home?) cannot be blank,,
a1a-ivp-m-068,Error,A1a,I - UDS Initial Visit (new participants),SAFECOMM,Missingness,SAFECOMM must be present,Q25b. SAFECOMM (How safe you feel in community?) cannot be blank,,
a1a-ivp-m-070,Error,A1a,I - UDS Initial Visit (new participants),DELAYMED,Missingness,DELAYMED must be present,Q26. DELAYMED (Delay seeking medical attention in past year?) cannot be blank,,
a1a-ivp-m-072,Error,A1a,I - UDS Initial Visit (new participants),SCRIPTPROB,Missingness,SCRIPTPROB must be present,Q27. SCRIPTPROB (Challenges with prescription fills in past year?) cannot be blank,,
a1a-ivp-m-074,Error,A1a,I - UDS Initial Visit (new participants),MISSEDFUP,Missingness,MISSEDFUP must be present,Q28. MISSEDFUP (Missed follow-up in past year?) cannot be blank,,
